1668780013.850060000	2412	-57	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3032		ff:ff:ff:ff:ff:ff
1668780013.852279000	2412	-56	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3033		ff:ff:ff:ff:ff:ff
1668780013.914331000	2412	-60	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3034		ff:ff:ff:ff:ff:ff
1668780013.916255000	2412	-60	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3035		ff:ff:ff:ff:ff:ff
1668780013.930234000	2462	-80	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3444		ff:ff:ff:ff:ff:ff
1668780013.998361000	2462	-80	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3447		ff:ff:ff:ff:ff:ff
1668780014.000582000	2462	-78	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3448		ff:ff:ff:ff:ff:ff
1668780014.003090000	2462	-79	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3449		ff:ff:ff:ff:ff:ff
1668780014.045031000	2462	-82	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3026		ff:ff:ff:7e:f6:6f
1668780014.066319000	2462	-78	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3450		ff:ff:ff:ff:ff:ff
1668780014.068611000	2462	-78	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3451		ff:ff:ff:ff:ff:ff
1668780014.070840000	2462	-76	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	3452		ff:ff:ff:ff:ff:ff
1668780014.107509000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3040		ff:ff:ff:ff:ff:ff
1668780014.107528000	2437	-28	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3040		ff:ff:ff:ff:ff:ff
1668780014.109462000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3041		ff:ff:ff:ff:ff:ff
1668780014.109482000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3041		ff:ff:ff:ff:ff:ff
1668780014.171714000	2412	-75	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3042		ff:ff:ff:ff:ff:ff
1668780014.171734000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3042		ff:ff:ff:ff:ff:ff
1668780014.174260000	2412	-74	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3043		ff:ff:ff:ff:ff:ff
1668780014.174280000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3043		ff:ff:ff:ff:ff:ff
1668780014.256236000	2437	-30	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3044		ff:ff:ff:ff:ff:ff
1668780014.258206000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3045		ff:ff:ff:ff:ff:ff
1668780014.322511000	2412	-79	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3047		ff:ff:ff:ff:ff:ff
1668780014.322531000	2462	-67	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3047		ff:ff:ff:ff:ff:ff
1668780014.449386000	2462	-33	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3050		ff:ff:ff:ff:ff:ff
1668780014.451539000	2462	-33	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3051		ff:ff:ff:ff:ff:ff
1668780014.513663000	2462	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3052		ff:ff:ff:ff:ff:ff
1668780014.515934000	2462	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	3053		ff:ff:ff:ff:ff:ff
1668780021.233041000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1592		ff:ff:ff:ff:ff:ff
1668780021.233061000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1592		ff:ff:ff:ff:ff:ff
1668780021.233076000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1592		ff:ff:ff:ff:ff:ff
1668780021.235393000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1593		ff:ff:ff:ff:ff:ff
1668780021.235412000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1593		ff:ff:ff:ff:ff:ff
1668780021.235428000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1593		ff:ff:ff:ff:ff:ff
1668780021.275995000	2412	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1594		ff:ff:ff:ff:ff:ff
1668780021.276014000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1594		ff:ff:ff:ff:ff:ff
1668780021.276030000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1594		ff:ff:ff:ff:ff:ff
1668780021.278181000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1595		ff:ff:ff:ff:ff:ff
1668780021.340113000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1596		ff:ff:ff:ff:ff:ff
1668780021.340133000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1596		ff:ff:ff:ff:ff:ff
1668780021.342284000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1597		ff:ff:ff:ff:ff:ff
1668780021.354815000	2412	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1598		ff:ff:ff:ff:ff:ff
1668780021.354835000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1598		ff:ff:ff:ff:ff:ff
1668780021.356965000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1599		ff:ff:ff:ff:ff:ff
1668780021.356985000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1599		ff:ff:ff:ff:ff:ff
1668780021.419017000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1600		ff:ff:ff:ff:ff:ff
1668780021.419038000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1600		ff:ff:ff:ff:ff:ff
1668780021.421169000	2462	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1601		ff:ff:ff:ff:ff:ff
1668780021.421188000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1601		ff:ff:ff:ff:ff:ff
1668780021.421204000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1601		ff:ff:ff:ff:ff:ff
1668780021.462881000	2412	-71	b2:87:66:49:a9:50	ff:ff:ff:6e:ff:ff	1602		b5:ff:ff:ff:ff:ff
1668780021.462901000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1602		ff:ff:ff:ff:ff:ff
1668780021.462916000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1602		ff:ff:ff:ff:ff:ff
1668780021.465087000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1603		ff:ff:ff:ff:ff:ff
1668780021.506918000	2412	-73	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1604		ff:ff:ff:ff:ff:ff
1668780021.506937000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1604		ff:ff:ff:ff:ff:ff
1668780021.506953000	2462	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1604		ff:ff:ff:ff:ff:ff
1668780021.509118000	2412	-72	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1605		ff:ff:ff:ff:ff:ff
1668780021.509138000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1605		ff:ff:ff:ff:ff:ff
1668780021.509153000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1605		ff:ff:ff:ff:ff:ff
1668780021.552966000	2437	-42	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1607		ff:ff:ff:ff:ff:ff
1668780021.552986000	2462	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1607		ff:ff:ff:ff:ff:ff
1668780021.594985000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1608		ff:ff:ff:ff:ff:ff
1668780021.597062000	2462	-36	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1609		ff:ff:ff:ff:ff:ff
1668780021.609567000	2462	-82	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1610		ff:ff:ff:ff:ff:ff
1668780021.609587000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1610		ff:ff:ff:ff:ff:ff
1668780021.611869000	2437	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1611		ff:ff:ff:ff:ff:ff
1668780021.611888000	2462	-29	b2:07:ca:99:25:54	ff:ff:ff:ff:ff:ff	805	��\t\f$0�?	f1:e4:bf:59:ff:7f
1668780021.673817000	2437	-71	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1612		ff:ff:ff:ff:ff:ff
1668780021.673836000	2462	-27	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1612		ff:ff:ff:ff:ff:ff
1668780021.675867000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1613		ff:ff:ff:ff:ff:ff
1668780021.675887000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1613		ff:ff:ff:ff:ff:ff
1668780021.717737000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1614		ff:ff:ff:ff:ff:ff
1668780021.784029000	2412	-87	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1617		ff:ff:ff:ff:ff:ff
1668780023.851319000	2412	-93	dc:21:5c:92:af:81	ff:ff:ff:ff:ff:ff	814		ff:ff:ff:ff:ff:ff
1668780025.997675000	2462	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	2		ff:ff:ff:ff:ff:ff
1668780028.264331000	2412	-87	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	2748	UWS	ff:ff:ff:ff:ff:ff
1668780028.284041000	2412	-86	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	2749	UWS	ff:ff:ff:ff:ff:ff
1668780028.308212000	2437	-90	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	2750	UWS	ff:ff:ff:ff:ff:ff
1668780028.330253000	2437	-88	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	2751	UWS	ff:ff:ff:ff:ff:ff
1668780028.352883000	2462	-86	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	2752	UWS	ff:ff:ff:ff:ff:ff
1668780028.373694000	2462	-86	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	2753	UWS	ff:ff:ff:ff:ff:ff
1668780028.700278000	2412	-91	a7:60:50:76:28:e4	35:46:8c:fb:ff:7f	1377		ff:ff:ff:ff:ff:7f
1668780028.720805000	2412	-90	4e:c1:a0:ec:50:c8	ff:ff:ff:ff:ff:ff	2755	UWS	ff:ff:ff:ff:ff:ff
1668780028.993756000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	23		ff:ff:ff:ff:ff:ff
1668780029.014594000	2462	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	24		ff:ff:ff:ff:ff:ff
