1668812413.079510000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	474		ff:ff:ff:ff:ff:ff
1668812413.079530000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	474		ff:ff:ff:ff:ff:ff
1668812413.081676000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	475		ff:ff:ff:ff:ff:ff
1668812413.123562000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	476		ff:ff:ff:ff:ff:ff
1668812413.123582000	2437	-81	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	476		ff:ff:ff:ff:ff:ff
1668812413.123598000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	476		ff:ff:ff:ff:ff:ff
1668812413.125937000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	477		ff:ff:ff:ff:ff:ff
1668812413.125957000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	477		ff:ff:ff:ff:ff:ff
1668812413.125972000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	477		ff:ff:ff:ff:ff:ff
1668812413.138762000	2462	-89	65:5c:0d:b5:a0:6b	ff:ff:ff:bf:3a:e3	1689	�	47:b3:17:a0:53:c5
1668812413.167706000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	478		ff:ff:ff:ff:ff:ff
1668812413.167726000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	478		ff:ff:ff:ff:ff:ff
1668812413.169856000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	479		ff:ff:ff:ff:ff:ff
1668812413.169876000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	479		ff:ff:ff:ff:ff:ff
1668812413.169891000	2462	-59	f6:54:e2:13:03:00	ff:ff:ff:ff:ff:ff	1311	3\t�)��$��tJ`�7��&�2�qZIj@V�d�r	ff:ff:ff:ff:ff:ff
1668812413.201130000	2462	-92	80:8a:bd:24:33:9b	ff:ff:ff:ff:ff:ff	1532		ff:ff:ff:ff:ff:ff
1668812413.231628000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	480		ff:ff:ff:ff:ff:ff
1668812413.233931000	2412	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	481		ff:ff:ff:ff:ff:ff
1668812413.233950000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	481		ff:ff:ff:ff:ff:ff
1668812413.319679000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	484		ff:ff:ff:ff:ff:ff
1668812413.321876000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	485		ff:ff:ff:ff:ff:ff
1668812413.363633000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	486		ff:ff:ff:ff:ff:ff
1668812413.363652000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	486		ff:ff:ff:ff:ff:ff
1668812413.365856000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	487		ff:ff:ff:ff:ff:ff
1668812413.365876000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	487		ff:ff:ff:ff:ff:ff
1668812413.378326000	2412	-82	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	488		ff:ff:ff:ff:ff:ff
1668812413.378346000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	488		ff:ff:ff:ff:ff:ff
1668812413.380414000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	489		ff:ff:ff:ff:ff:ff
1668812413.380434000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	489		ff:ff:ff:ff:ff:ff
1668812413.380450000	2412	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	489		ff:ff:ff:ff:ff:ff
1668812413.422427000	2462	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	490		ff:ff:ff:ff:ff:ff
1668812413.424706000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	491		ff:ff:ff:ff:ff:ff
1668812413.466371000	2412	-89	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	492		ff:ff:ff:ff:ff:ff
1668812414.061452000	2437	-91	2a:a5:8b:c5:47:7e	ff:ff:ff:ff:ff:ff	1313	UWS	ff:ff:ff:ff:ff:ff
1668812414.611336000	2437	-90	de:19:ea:cc:67:25	9c:0b:1c:4c:d8:45	680		eb:0a:23:66:89:00
1668812414.941480000	2462	-90	1e:85:04:fa:94:d9	ff:ff:ff:ff:ff:ff	622	UWS	ff:ff:ff:ff:ff:ff
1668812415.001754000	2437	-90	28:16:a8:55:5f:a7	ff:ff:ff:ff:ff:ff	1698		ff:ff:ff:ff:ff:ff
1668812415.002635000	2437	-90	28:16:a8:55:5f:a7	ff:ff:ff:ff:ff:ff	1699		ff:ff:ff:ff:ff:ff
1668812415.039483000	2437	-86	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	2415		ff:ff:ff:ff:ff:ff
1668812415.047560000	2437	-84	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	2416		ff:ff:ff:ff:ff:ff
1668812415.319432000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	45		ff:ff:ff:ff:ff:ff
1668812415.340220000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	46		ff:ff:ff:ff:ff:ff
1668812415.353559000	2462	-86	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	2429		ff:ff:ff:ff:ff:ff
1668812415.355746000	2462	-87	80:8a:bd:24:33:9a	ff:ff:ff:ff:ff:ff	2430		ff:ff:ff:ff:ff:ff
1668812415.564560000	2437	-89	66:4a:9c:37:5e:28	ff:ff:ff:ff:ff:ff	2568	UWS	ff:ff:ff:ff:ff:ff
1668812415.566996000	2462	-90	28:16:a8:55:5f:a7	ff:ff:ff:ff:ff:ff	1709		ff:ff:ff:ff:ff:ff
1668812415.567890000	2462	-90	28:16:a8:55:5f:a7	ff:ff:ff:ff:ff:ff	1710		ff:ff:ff:ff:ff:ff
1668812415.574712000	2437	-90	66:4a:9c:37:5e:28	ff:ff:ff:ff:ff:ff	2569	UWS	ff:ff:ff:ff:ff:ff
1668812415.680565000	2462	-86	66:4a:9c:37:5e:28	ff:ff:ff:ff:ff:ff	2576	UWS	ff:ff:ff:ff:ff:ff
1668812415.862926000	2462	-89	66:4a:9c:37:5e:28	ff:ff:ff:ff:ff:ff	2584	UWS	ff:ff:ff:ff:ff:ff
1668812415.872754000	2462	-90	66:4a:9c:37:5e:28	ff:ff:ff:ff:ff:ff	2585	UWS	ff:ff:ff:ff:ff:ff
1668812415.901361000	2462	-86	66:4a:9c:37:5e:28	ff:ff:ff:ff:ff:ff	2587	UWS	ff:ff:ff:ff:ff:ff
1668812416.622326000	2462	-89	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	23		ff:ff:ff:ff:ff:ff
1668812416.643241000	2462	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	24		ff:ff:ff:ff:ff:ff
1668812417.025293000	2437	-92	26:19:30:7b:44:86	ff:ff:ff:ff:ff:ff	1612		ff:ff:ff:ff:ff:ff
1668812417.275094000	2462	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	46		ff:ff:ff:ff:ff:ff
1668812417.300379000	2462	-90	26:19:30:7b:44:86	ff:ff:ff:ff:ff:ff	1625		ff:ff:ff:ff:ff:ff
1668812417.319608000	2412	-88	b4:69:21:5d:9c:97	ff:ff:ff:ff:ff:ff	375	UWS	ff:ff:ff:ff:ff:ff
1668812417.340638000	2437	-80	b4:69:21:5d:9c:97	ff:ff:ff:ff:ff:ff	376	UWS	ff:ff:ff:ff:ff:ff
1668812417.369776000	2462	-87	b4:69:21:5d:9c:97	ff:ff:ff:ff:ff:ff	377	UWS	ff:ff:ff:ff:ff:ff
1668812417.504318000	2437	-81	b4:69:21:5d:9c:97	ff:ff:ff:ff:ff:ff	382	UWS	ff:ff:ff:ff:ff:ff
1668812418.661691000	2412	-54	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2720		ff:ff:ff:ff:ff:ff
1668812418.663582000	2412	-54	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2721		ff:ff:ff:ff:ff:ff
1668812418.725844000	2412	-61	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2722		ff:ff:ff:ff:ff:ff
1668812418.918890000	2437	-28	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2728		ff:ff:ff:ff:ff:ff
1668812418.921093000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2729		ff:ff:ff:ff:ff:ff
1668812418.983224000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2730		ff:ff:ff:ff:ff:ff
1668812418.983243000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2730		ff:ff:ff:ff:ff:ff
1668812418.985301000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2731		ff:ff:ff:ff:ff:ff
1668812418.985321000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2731		ff:ff:ff:ff:ff:ff
1668812419.087978000	2412	-79	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2732		ff:ff:ff:ff:ff:ff
1668812419.087997000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2732		ff:ff:ff:ff:ff:ff
1668812419.089899000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2733		ff:ff:ff:ff:ff:ff
1668812419.089918000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2733		ff:ff:ff:ff:ff:ff
1668812419.153296000	2412	-79	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2734		ff:ff:ff:ff:ff:ff
1668812419.280863000	2462	-33	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2738		ff:ff:ff:ff:ff:ff
1668812419.282885000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2739		ff:ff:ff:ff:ff:ff
1668812419.345237000	2462	-32	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2740		ff:ff:ff:ff:ff:ff
1668812419.347451000	2462	-32	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2741		ff:ff:ff:ff:ff:ff
1668812420.416679000	2462	-92	1e:9c:7c:82:89:a0	ff:ff:ff:ff:ff:ff	1726		ff:ff:ff:ff:ff:ff
1668812420.437346000	2462	-91	1e:9c:7c:82:89:a0	ff:ff:ff:ff:ff:ff	1727		ff:ff:ff:ff:ff:ff
1668812420.589402000	2412	-75	54:8d:5a:13:1d:61	ff:ff:ff:ff:ff:ff	1046		ff:ff:ff:ff:ff:ff
1668812420.591058000	2412	-88	1e:85:04:fa:94:d9	ff:ff:ff:ff:ff:ff	640	UWS	ff:ff:ff:ff:ff:ff
1668812420.649574000	2412	-72	54:8d:5a:13:1d:61	ff:ff:ff:ff:ff:ff	1047		ff:ff:ff:ff:ff:ff
1668812420.655488000	2437	-87	1e:85:04:ea:9d:d9	ff:ff:ff:b7:f1:fc	659	UWS	ff:ff:ff:ff:ff:bf
1668812420.720753000	2462	-76	54:8d:5a:13:1d:61	ff:ff:ff:ff:ff:ff	1048		ff:ff:ff:ff:ff:ff
1668812420.745500000	2462	-91	1e:85:04:fa:94:d9	ff:ff:ff:ff:ff:ff	647	UWS	ff:ff:ff:ff:ff:ff
1668812420.770450000	2437	-87	1e:85:04:fa:94:d9	ff:ff:ff:ff:ff:ff	648	UWS	ff:ff:ff:ff:ff:ff
1668812420.790694000	2437	-88	1e:85:04:fa:94:d9	ff:ff:ff:ff:ff:ff	649	UWS	ff:ff:ff:ff:ff:ff
1668812420.804931000	2437	-72	54:8d:5a:13:1d:61	ff:ff:ff:ff:ff:ff	1049		ff:ff:ff:ff:ff:ff
1668812420.865762000	2437	-68	54:8d:5a:13:1d:61	ff:ff:ff:ff:ff:ff	1050		ff:ff:ff:ff:ff:ff
1668812420.893448000	2412	-90	9c:da:3e:f0:dc:91	ff:ff:ff:ff:ff:ff	1088	UWS	ff:ff:ff:ff:ff:ff
1668812420.896303000	2412	-90	9c:da:3e:f0:dc:91	ff:ff:ff:ff:ff:ff	1089		ff:ff:ff:ff:ff:ff
1668812420.907577000	2412	-76	54:8d:5a:13:1d:61	ff:ff:ff:ff:ff:ff	1051		ff:ff:ff:ff:ff:ff
1668812421.029702000	2437	-71	54:8d:5a:13:1d:61	ff:ff:ff:ff:ff:ff	1054		ff:ff:ff:ff:ff:ff
1668812421.050326000	2437	-70	54:8d:5a:13:1d:61	ff:ff:ff:ff:ff:ff	1055		ff:ff:ff:ff:ff:ff
1668812421.144466000	2462	-76	54:8d:5a:13:1d:61	ff:ff:ff:ff:ff:ff	1058		ff:ff:ff:ff:ff:ff
1668812421.167104000	2462	-79	54:8d:5a:13:1d:61	ff:ff:ff:ff:ff:ff	1059		ff:ff:ff:ff:ff:ff
1668812421.291553000	2437	-90	9c:da:3e:f0:dc:91	ff:ff:ff:ff:ff:ff	1098	UWS	ff:ff:ff:ff:ff:ff
1668812421.294428000	2437	-91	9c:da:3e:f0:dc:91	ff:ff:ff:ff:ff:ff	1099		ff:ff:ff:ff:ff:ff
