1668754806.573365000	2462	-87	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3492	5099251212	ff:ff:ff:ff:ff:ff
1668754806.573615000	2462	-89	e8:50:8b:43:b1:20	ff:ff:ff:ff:ff:ff	3493		ff:ff:ff:ff:ff:ff
1668754806.730901000	2462	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	23		ff:ff:ff:ff:ff:ff
1668754806.751217000	2462	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	24		ff:ff:ff:ff:ff:ff
1668754807.016008000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	36		ff:ff:ff:ff:ff:ff
1668754807.364185000	2462	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	45		ff:ff:ff:ff:ff:ff
1668754807.626844000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	57		ff:ff:ff:ff:ff:ff
1668754808.034641000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1		ff:ff:ff:ff:ff:ff
1668754808.055481000	2462	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	2		ff:ff:ff:ff:ff:ff
1668754808.665887000	2462	-88	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	23		ff:ff:ff:ff:ff:ff
1668754808.950798000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	36		ff:ff:ff:ff:ff:ff
1668754809.295975000	2462	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	45		ff:ff:ff:ff:ff:ff
1668754809.317090000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	46		ff:ff:ff:ff:ff:ff
1668754809.421516000	2412	-55	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1960		ff:ff:ff:ff:ff:ff
1668754809.423375000	2412	-55	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1961		ff:ff:ff:ff:ff:ff
1668754809.485189000	2412	-59	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1962		ff:ff:ff:ff:ff:ff
1668754809.549485000	2412	-69	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1964		ff:ff:ff:ff:ff:ff
1668754809.560187000	2437	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	57		ff:ff:ff:ff:ff:ff
1668754809.613869000	2462	-80	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1966		ff:ff:ff:ff:ff:ff
1668754809.678364000	2412	-75	a8:86:60:da:7d:7b	ff:ef:b6:9b:db:ff	1968		ff:ff:ff:ff:ff:ff
1668754809.678384000	2462	-82	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1968		ff:ff:ff:ff:ff:ff
1668754809.680316000	2412	-75	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1969		ff:ff:ff:ff:ff:ff
1668754809.680336000	2437	-27	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1969		ff:ff:ff:ff:ff:ff
1668754809.742544000	2412	-73	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1970		ff:ff:ff:ff:ff:ff
1668754809.742564000	2437	-28	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1970		ff:ff:ff:ff:ff:ff
1668754809.744742000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1971		ff:ff:ff:ff:ff:ff
1668754809.744762000	2412	-73	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1971		ff:ff:ff:ff:ff:ff
