1668657614.326500000	2412	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1712		ff:ff:ff:ff:ff:ff
1668657614.326528000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1712		ff:ff:ff:ff:ff:ff
1668657614.328650000	2412	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1713		ff:ff:ff:ff:ff:ff
1668657614.328670000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1713		ff:ff:ff:ff:ff:ff
1668657614.328686000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1713		ff:ff:ff:ff:ff:ff
1668657614.388926000	2412	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1714		ff:ff:ff:ff:ff:ff
1668657614.388946000	2437	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1714		ff:ff:ff:ff:ff:ff
1668657614.391140000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1715		ff:ff:ff:ff:ff:ff
1668657616.064553000	2462	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668657618.332543000	2437	-90	52:be:3e:e6:06:ef	ff:ff:ff:ff:ff:ff	1063		ff:ff:ff:ff:ff:ff
1668657618.366621000	2437	-87	52:be:3e:e6:06:ef	ff:ff:ff:ff:ff:ff	1064		ff:ff:ff:ff:ff:ff
1668657618.655896000	2462	-90	1c:57:dc:68:d2:09	ff:ff:ff:ff:ff:ff	1477	UWS	ff:ff:ff:ff:ff:ff
1668657618.678736000	2462	-92	1c:57:dc:68:d2:09	ff:ff:ff:ff:ff:ff	1478	UWS	ff:ff:ff:ff:ff:ff
1668657620.171014000	2412	-93	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	159		ff:ff:ff:ff:ff:ff
1668657620.173241000	2412	-92	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	160		ff:ff:ff:ff:ff:ff
1668657620.175400000	2412	-91	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	161		ff:ff:ff:ff:ff:ff
1668657620.435852000	2437	-85	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	172		ff:ff:ff:ff:ff:ff
1668657620.438490000	2437	-86	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	173		ff:ff:ff:ff:ff:ff
1668657620.497490000	2437	-82	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	174		ff:ff:ff:ff:ff:ff
1668657620.499740000	2437	-82	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	175		ff:ff:ff:ff:ff:ff
1668657620.561494000	2437	-83	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	177		ff:ff:ff:ff:ff:ff
1668657620.563743000	2437	-83	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	178		ff:ff:ff:ff:ff:ff
1668657620.762909000	2462	-80	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	186		ff:ff:ff:ff:ff:ff
1668657620.765132000	2462	-79	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	187		ff:ff:ff:ff:ff:ff
1668657620.830865000	2462	-79	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	189		ff:ff:ff:ff:ff:ff
1668657620.833392000	2462	-80	80:8a:bd:24:18:59	ff:ff:ff:ff:ff:ff	190		ff:ff:ff:ff:ff:ff
1668657621.302911000	2462	-76	16:18:03:24:5e:7c	ff:ff:ff:ff:ff:ff	708		ff:ff:ff:ff:ff:ff
1668657621.322759000	2462	-75	16:18:03:24:5e:7c	ff:ff:ff:ff:ff:ff	344		ff:ff:ff:ff:ff:ff
1668657621.357629000	2437	-73	02:ae:32:a7:41:36	ff:ff:ff:ff:ff:ff	266		ff:ff:ff:ff:ff:ff
1668657621.377216000	2437	-73	02:ae:32:a7:41:36	ff:ff:ff:ff:ff:ff	121		ff:ff:ff:ff:ff:ff
1668657621.385989000	2412	-91	36:d7:7b:bd:3f:c7	ff:ff:ff:ff:ff:ff	3921		ff:ff:ff:ff:ff:ff
1668657621.407816000	2412	-91	36:d7:7b:bd:3f:c7	ff:ff:ff:ff:ff:ff	3923		ff:ff:ff:ff:ff:ff
1668657622.427103000	2462	-94	80:8a:bd:24:1d:f8	ff:ff:ff:ff:ff:ff	3857		ff:ff:ff:ff:ff:ff
1668657623.086135000	2412	-89	dc:41:a9:5e:4d:0e	ff:ff:ff:ff:ff:ff	558	UWS	ff:ff:ff:ff:ff:ff
