1668654011.802932000	2437	-55	b2:87:66:09:ef:75	ff:ff:ff:ff:ff:ff	2257		f1:e4:ff:d9:ff:ff
1668654011.802948000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	593		ff:ff:ff:ff:ff:ff
1668654011.826278000	2437	-85	5a:af:f1:89:7b:cd	ff:ff:ff:ff:ff:ff	2990		ff:ff:ff:ff:ff:ff
1668654011.827569000	2437	-87	1e:25:ae:94:b5:73	ff:ff:ff:ff:ff:ff	485		ff:ff:ff:ff:ff:ff
1668654011.844337000	2412	-78	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	594		ff:ff:ff:ff:ff:ff
1668654011.844357000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	594		ff:ff:ff:ff:ff:ff
1668654011.844372000	2462	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	594		ff:ff:ff:ff:ff:ff
1668654011.846759000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	595		ff:ff:ff:ff:ff:ff
1668654011.846779000	2462	-26	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	595		ff:ff:ff:ff:ff:ff
1668654011.909383000	2412	-85	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	596		ff:ff:ff:ff:ff:ff
1668654011.909402000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	596		ff:ff:ff:ff:ff:ff
1668654011.911505000	2437	-71	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	597		ff:ff:ff:ff:ff:ff
1668654012.760689000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2192		ff:ff:ff:ff:ff:ff
1668654012.763393000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2193		ff:ff:ff:ff:ff:ff
1668654012.847081000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2195		ff:ff:ff:ff:ff:ff
1668654012.974531000	2437	-46	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2198		ff:ff:ff:ff:ff:ff
1668654012.976430000	2412	-69	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2199		ff:ff:ff:ff:ff:ff
1668654013.038238000	2437	-38	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2200		ff:ff:ff:ff:ff:ff
1668654013.040071000	2437	-39	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2201		ff:ff:ff:ff:ff:ff
1668654013.102488000	2437	-36	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2202		ff:ff:ff:ff:ff:ff
1668654013.104683000	2437	-37	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2203		ff:ff:ff:ff:ff:ff
1668654013.166609000	2437	-38	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2204		ff:ff:ff:ff:ff:ff
1668654013.168609000	2437	-37	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	2205		ff:ff:ff:ff:ff:ff
1668654013.197608000	2462	-77	5a:af:f1:89:7b:cd	ff:ff:ff:ff:ff:ff	3726		ff:ff:ff:ff:ff:ff
