1668970829.319545000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	219		ff:ff:ff:ff:ff:ff
1668970829.381582000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	220		ff:ff:ff:ff:ff:ff
1668970829.381602000	2437	-83	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	220		ff:ff:ff:ff:ff:ff
1668970829.381617000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	220		ff:ff:ff:ff:ff:ff
1668970829.383700000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	221		ff:ff:ff:ff:ff:ff
1668970829.445662000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	222		ff:ff:ff:ff:ff:ff
1668970829.445682000	2412	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	222		ff:ff:ff:ff:ff:ff
1668970829.445697000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	222		ff:ff:ff:ff:ff:ff
1668970829.447811000	2412	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	223		ff:ff:ff:ff:ff:ff
1668970829.447831000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	223		ff:ff:ff:ff:ff:ff
1668970829.447846000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	223		ff:ff:ff:ff:ff:ff
1668970829.509806000	2412	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	224		ff:ff:ff:ff:ff:ff
1668970829.509826000	2437	-33	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	224		ff:ff:ff:ff:ff:ff
1668970829.509841000	2462	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	224		ff:ff:ff:ff:ff:ff
1668970829.512097000	2412	-75	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	225		ff:ff:ff:ff:ff:ff
1668970829.512117000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	225		ff:ff:ff:ff:ff:ff
1668970829.550788000	2462	-90	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	1		ff:ff:ff:ff:ff:dd
1668970829.638033000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	228		ff:ff:ff:ff:ff:ff
1668970829.640254000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	229		ff:ff:ff:ff:ff:ff
1668970829.702276000	2462	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	230		ff:ff:ff:ff:ff:ff
1668970829.766478000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	232		ff:ff:ff:ff:ff:ff
1668970829.766498000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	232		ff:ff:ff:ff:ff:ff
1668970829.770330000	2412	-80	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	233		ff:ff:ff:ff:ff:ff
1668970829.770350000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	233		ff:ff:ff:ff:ff:ff
