1668974411.515571000	2437	-90	3c:58:c2:ff:8d:59	ff:ff:ff:ff:ff:ff	2468		ff:ff:ff:ff:ff:ff
1668974413.486203000	2412	-89	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2724		ff:ff:ff:ff:ff:ff
1668974413.488427000	2412	-87	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2725		ff:ff:ff:ff:ff:ff
1668974413.490652000	2412	-89	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2726		ff:ff:ff:ff:ff:ff
1668974413.595548000	2437	-92	3e:c7:84:03:a4:44	ff:ff:ff:ff:ff:ff	3897		31:ea:ff:ff:ff:ff
1668974413.598956000	2437	-90	0c:9a:3c:e1:16:b7	ff:ff:ff:ff:ff:ff	234	�nS	ff:ff:ff:ff:ff:ff
1668974413.615108000	2437	-92	0c:9a:3c:e1:16:b7	ff:ff:ff:ff:ff:ff	235	UWS	ff:ff:ff:ff:ff:ff
1668974413.795553000	2462	-88	0c:9a:3c:e1:16:b7	ff:ff:ff:ff:ff:ff	240	UWS	ff:ff:ff:ff:ff:ff
1668974413.811541000	2462	-89	0c:9a:3c:e1:16:b7	ff:ff:ff:ff:ff:ff	241	UWS	ff:ff:ff:ff:ff:ff
1668974413.813233000	2437	-83	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2740		ff:ff:ff:ff:ff:ff
1668974413.816739000	2437	-87	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2741		ff:ff:ff:ff:ff:ff
1668974413.877552000	2437	-79	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	2742		ff:ff:ff:ff:ff:ff
1668974414.140753000	2437	-90	04:f0:21:3f:23:95	ff:ff:ff:ff:ff:ff	1492		ff:ff:ff:ff:ff:ff
1668974415.802557000	2412	-78	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3111		ff:ff:ff:ff:ff:ff
1668974415.804761000	2412	-78	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3112		ff:ff:ff:ff:ff:ff
1668974415.955913000	2412	-79	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3113		ff:ff:ff:ff:ff:ff
1668974415.958110000	2412	-79	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3114		ff:ff:ff:ff:ff:ff
1668974416.405964000	2437	-77	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3120		ff:ff:ff:ff:ff:ff
1668974416.557663000	2437	-74	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3121		ff:ff:ff:ff:ff:ff
1668974416.560344000	2437	-73	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3122		ff:ff:ff:ff:ff:ff
1668974416.700493000	2437	-74	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3123		ff:ff:ff:ff:ff:ff
1668974416.702642000	2437	-73	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3124		ff:ff:ff:ff:ff:ff
1668974417.142747000	2462	-79	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3129		ff:ff:ff:ff:ff:ff
1668974417.144954000	2462	-79	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3130		ff:ff:ff:ff:ff:ff
1668974417.292291000	2462	-77	1c:65:9d:7e:03:bc	ff:ff:ff:ff:ff:ff	3132		ff:ff:ff:ff:ff:ff
1668974417.496199000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1216		ff:ff:ff:ff:ff:ff
1668974417.496219000	2437	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1216		ff:ff:ff:ff:ff:ff
1668974417.496234000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1216		ff:ff:ff:ff:ff:ff
1668974417.498300000	2412	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1217		ff:ff:ff:ff:ff:ff
1668974417.498319000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1217		ff:ff:ff:ff:ff:ff
1668974417.498335000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1217		ff:ff:ff:ff:ff:ff
1668974417.559475000	2412	-83	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1218		ff:ff:ff:ff:ff:ff
1668974417.559495000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1218		ff:ff:ff:ff:ff:ff
