1668682816.646414000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1843		ff:ff:ff:ff:ff:ff
1668682817.441068000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1272		ff:ff:ff:ff:ff:ff
1668682817.443430000	2412	-41	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1273		ff:ff:ff:ff:ff:ff
1668682817.504693000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1274		ff:ff:ff:ff:ff:ff
1668682817.506693000	2412	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1275		ff:ff:ff:ff:ff:ff
1668682817.633392000	2412	-69	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1278		ff:ff:ff:ff:ff:ff
1668682817.635393000	2437	-45	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1279		ff:ff:ff:ff:ff:ff
1668682817.762171000	2437	-36	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1282		ff:ff:ff:ff:ff:ff
1668682817.764147000	2437	-36	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1283		ff:ff:ff:ff:ff:ff
1668682817.826913000	2437	-37	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1284		ff:ff:ff:ff:ff:ff
1668682817.828817000	2437	-37	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1285		ff:ff:ff:ff:ff:ff
1668682818.020070000	2462	-43	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1290		ff:ff:ff:ff:ff:ff
1668682818.021997000	2462	-44	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1291		ff:ff:ff:ff:ff:ff
1668682818.085126000	2462	-41	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1292		ff:ff:ff:ff:ff:ff
1668682818.088444000	2462	-39	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1293		ff:ff:ff:ff:ff:ff
