1668693623.134886000	2462	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1504		ff:ff:ff:ff:ff:ff
1668693623.137627000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1505		ff:ff:ff:ff:ff:ff
1668693623.137647000	2437	-18	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1505		ff:ff:ff:ff:ff:ff
1668693623.137663000	2462	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1505		ff:ff:ff:ff:ff:ff
1668693623.178831000	2412	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1506		ff:ff:ff:ff:ff:ff
1668693623.178851000	2437	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1506		ff:ff:ff:ff:ff:ff
1668693623.178867000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1506		ff:ff:ff:ff:ff:ff
1668693623.180950000	2412	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1507		ff:ff:ff:ff:ff:ff
1668693623.180970000	2437	-19	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1507		ff:ff:ff:ff:ff:ff
1668693623.180986000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1507		ff:ff:ff:ff:ff:ff
1668693623.222770000	2462	-46	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1508		ff:ff:ff:ff:ff:ff
1668693623.225218000	2462	-44	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1509		ff:ff:ff:ff:ff:ff
1668693623.266924000	2437	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1510		ff:ff:ff:ff:ff:ff
1668693623.331024000	2437	-44	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1512		ff:ff:ff:ff:ff:ff
1668693623.331044000	2462	-74	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1512		ff:ff:ff:ff:ff:ff
1668693623.333174000	2437	-47	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1513		ff:ff:ff:ff:ff:ff
1668693623.374942000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1514		ff:ff:ff:ff:ff:ff
1668693623.374962000	2437	-54	b2:07:8e:53:27:91	ff:ff:ff:ff:ff:ff	1514	�h	df:7c:ff:ff:eb:94
1668693623.374977000	2462	-76	b2:87:66:09:27:91	f6:ff:ff:ff:ff:ff	1514		ff:bb:fd:ff:ff:ff
1668693623.377349000	2412	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1515		ff:ff:ff:ff:ff:ff
1668693623.377370000	2437	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1515		ff:ff:ff:ff:ff:ff
1668693623.377385000	2462	-22	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1515		ff:ff:ff:ff:ff:ff
1668693623.418953000	2412	-79	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1516		ff:ff:ff:ff:ff:ff
1668693623.418973000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1516		ff:ff:ff:ff:ff:ff
1668693623.418988000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1516		ff:ff:ff:ff:ff:ff
1668693623.421226000	2412	-78	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1517		ff:ff:ff:ff:ff:ff
1668693623.421246000	2437	-61	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1517		ff:ff:ff:ff:ff:ff
1668693623.421263000	2462	-24	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1517		ff:ff:ff:ff:ff:ff
1668693623.463175000	2412	-83	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1518		ff:ff:ff:ff:ff:ff
