1668855612.473946000	2437	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2755		ff:ff:ff:ff:ff:ff
1668855612.473965000	2462	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2755		ff:ff:ff:ff:ff:ff
1668855612.515773000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2756		ff:ff:ff:ff:ff:ff
1668855612.515793000	2437	-69	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2756		ff:ff:ff:ff:ff:ff
1668855612.518520000	2437	-71	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2757		ff:ff:ff:ff:ff:ff
1668855612.518539000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2757		ff:ff:ff:ff:ff:ff
1668855612.559743000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2758		ff:ff:ff:ff:ff:ff
1668855612.561920000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2759		ff:ff:ff:ff:ff:ff
1668855612.626045000	2412	-89	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2761		ff:ff:ff:ff:ff:ff
1668855616.796757000	2412	-89	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1729		ff:ff:ff:ff:ff:ff
1668855616.798895000	2412	-92	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1730		ff:ff:ff:ff:ff:ff
1668855617.116991000	2437	-87	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1743		ff:ff:ff:ff:ff:ff
1668855617.119209000	2437	-88	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1744		ff:ff:ff:ff:ff:ff
1668855617.123258000	2437	-86	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1745		ff:ff:ff:ff:ff:ff
1668855617.183144000	2437	-85	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1746		ff:ff:ff:ff:ff:ff
1668855617.185433000	2437	-86	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1747		ff:ff:ff:ff:ff:ff
1668855617.187659000	2437	-86	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1748		ff:ff:ff:ff:ff:ff
1668855617.436365000	2462	-87	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1758		ff:ff:ff:ff:ff:ff
1668855617.438521000	2462	-84	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1759		ff:ff:ff:ff:ff:ff
1668855617.440810000	2462	-86	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	1760		ff:ff:ff:ff:ff:ff
1668855617.947313000	2437	-93	dd:21:55:9f:3e:4d	ff:ff:ff:8f:63:d5	2017		68:ff:1f:61:50:f9
1668855624.856321000	2437	-91	70:b3:17:a0:51:62	ff:ff:ff:ff:ff:ff	2058		70:b3:17:a0:51:62
1668855626.454166000	2412	-56	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1768		ff:ff:ff:ff:ff:ff
1668855626.456094000	2412	-57	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1769		ff:ff:ff:ff:ff:ff
1668855626.540690000	2412	-60	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1771		ff:ff:ff:ff:ff:ff
1668855626.602892000	2412	-71	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1772		ff:ff:ff:ff:ff:ff
1668855626.650049000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	13	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668855626.667292000	2462	-82	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1774		ff:ff:ff:ff:ff:ff
1668855626.731771000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1776		ff:ff:ff:ff:ff:ff
1668855626.731790000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1776		ff:ff:ff:ff:ff:ff
1668855626.733815000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1693		ff:ff:ff:7e:f6:ff
1668855626.796075000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1778		ff:ff:ff:ff:ff:ff
1668855626.796094000	2437	-30	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1778		ff:ff:ff:ff:ff:ff
1668855626.798046000	2437	-28	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1779		ff:ff:ff:ff:ff:ff
1668855626.798065000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1779		ff:ff:ff:ff:ff:ff
1668855626.860373000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1780		ff:ff:ff:ff:ff:ff
1668855626.860392000	2437	-31	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1780		ff:ff:ff:ff:ff:ff
1668855626.862316000	2412	-77	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1781		ff:ff:ff:ff:ff:ff
1668855626.926640000	2412	-85	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1783		ff:ff:ff:ff:ff:ff
1668855627.053485000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1786		ff:ff:ff:ff:ff:ff
1668855627.055585000	2462	-34	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1787		ff:ff:ff:ff:ff:ff
1668855627.072956000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2774		ff:ff:ff:ff:ff:ff
1668855627.072975000	2437	-62	b2:c3:64:c1:25:b2	ff:ff:ff:ff:ff:ff	454		fe:6e:fb:fb:fe:ff
1668855627.072990000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2774		ff:ff:ff:ff:ff:ff
1668855627.075585000	2437	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2775		ff:ff:ff:ff:ff:ff
1668855627.075604000	2462	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2775		ff:ff:ff:ff:ff:ff
1668855627.075620000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2775		ff:ff:ff:ff:ff:ff
1668855627.117026000	2412	-40	32:cf:66:81:01:54	ff:ff:ff:ff:ff:ff	1560		b5:ff:fb:dd:0d:bc
1668855627.117045000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2776		ff:ff:ff:ff:ff:ff
1668855627.117061000	2462	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2776		ff:ff:ff:ff:ff:ff
1668855627.119302000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2777		ff:ff:ff:ff:ff:ff
1668855627.119322000	2437	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2777		ff:ff:ff:ff:ff:ff
1668855627.119338000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2777		ff:ff:ff:ff:ff:ff
1668855627.121194000	2462	-32	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1788		ff:ff:ff:ff:ff:ff
1668855627.124346000	2462	-32	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	1789		ff:ff:ff:ff:ff:ff
1668855627.160967000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2778		ff:ff:ff:ff:ff:ff
1668855627.163098000	2437	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2779		ff:ff:ff:ff:ff:ff
1668855627.204996000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2780		ff:ff:ff:ff:ff:ff
1668855627.205015000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2780		ff:ff:ff:ff:ff:ff
1668855627.207209000	2412	-60	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2781		ff:ff:ff:ff:ff:ff
1668855627.207229000	2437	-41	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2781		ff:ff:ff:ff:ff:ff
1668855627.207245000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2781		ff:ff:ff:ff:ff:ff
1668855627.219627000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2782		ff:ff:ff:ff:ff:ff
1668855627.219647000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2782		ff:ff:ff:ff:ff:ff
1668855627.221907000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2783		ff:ff:ff:ff:ff:ff
1668855627.221927000	2412	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2783		ff:ff:ff:ff:ff:ff
1668855627.221943000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2783		ff:ff:ff:ff:ff:ff
1668855627.263758000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2784		ff:ff:ff:ff:ff:ff
1668855627.263778000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2784		ff:ff:ff:ff:ff:ff
1668855627.263792000	2462	-61	b6:87:66:09:27:91	ff:ff:ff:ff:f7:3b	2784		ff:ff:ff:bb:fd:ff
1668855627.266076000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2785		ff:ff:ff:ff:ff:ff
1668855627.266095000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2785		ff:ff:ff:ff:ff:ff
1668855627.307775000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2786		ff:ff:ff:ff:ff:ff
1668855627.307794000	2462	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2786		ff:ff:ff:ff:ff:ff
1668855627.309978000	2412	-77	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2787		ff:ff:ff:ff:ff:ff
1668855627.309997000	2437	-35	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	2787		ff:ff:ff:ff:ff:ff
