1668920425.997699000	2437	-51	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3905		ff:ff:ff:ff:ff:ff
1668920425.997719000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3905		ff:ff:ff:ff:ff:ff
1668920426.039258000	2437	-38	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3906		ff:ff:ff:ff:ff:ff
1668920426.039278000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3906		ff:ff:ff:ff:ff:ff
1668920426.039294000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3906		ff:ff:ff:ff:ff:ff
1668920426.041382000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3907		ff:ff:ff:ff:ff:ff
1668920426.041402000	2412	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3907		ff:ff:ff:ff:ff:ff
1668920426.041417000	2437	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3907		ff:ff:ff:ff:ff:ff
1668920426.053869000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3908		ff:ff:ff:ff:ff:ff
1668920426.053888000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3908		ff:ff:ff:ff:ff:ff
1668920426.053903000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3908		ff:ff:ff:ff:ff:ff
1668920426.056068000	2412	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3909		ff:ff:ff:ff:ff:ff
1668920426.056088000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3909		ff:ff:ff:ff:ff:ff
1668920426.068629000	2412	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3910		ff:ff:ff:ff:ff:ff
1668920426.068648000	2437	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3910		ff:ff:ff:ff:ff:ff
1668920426.068664000	2462	-62	b2:07:8e:13:8b:95	ff:ff:ff:ff:ff:ff	3398	android_4x_wet_kk	ff:ff:bf:9b:cb:f6
1668920426.070676000	2412	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3911		ff:ff:ff:ff:ff:ff
1668920426.070696000	2437	-32	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3911		ff:ff:ff:ff:ff:ff
1668920426.070711000	2462	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3911		ff:ff:ff:ff:ff:ff
1668920426.112525000	2437	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3912		ff:ff:ff:ff:ff:ff
1668920426.112545000	2462	-55	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3912		ff:ff:ff:ff:ff:ff
1668920426.115129000	2412	-76	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3913		ff:ff:ff:ff:ff:ff
1668920426.115149000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3913		ff:ff:ff:ff:ff:ff
1668920426.115164000	2462	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3913		ff:ff:ff:ff:ff:ff
1668920426.156593000	2462	-50	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3914		ff:ff:ff:ff:ff:ff
1668920426.200569000	2437	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3916		ff:ff:ff:ff:ff:ff
1668920426.202771000	2437	-54	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3917		ff:ff:ff:ff:ff:ff
1668920426.244552000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3918		ff:ff:ff:ff:ff:ff
1668920426.244571000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3918		ff:ff:ff:ff:ff:ff
1668920426.246721000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3919		ff:ff:ff:ff:ff:ff
1668920426.246741000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3919		ff:ff:ff:ff:ff:ff
1668920426.288595000	2462	-28	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3920		ff:ff:ff:ff:ff:ff
1668920426.290670000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3921		ff:ff:ff:ff:ff:ff
1668920426.332871000	2462	-82	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3922		ff:ff:ff:ff:ff:ff
1668920426.335544000	2412	-84	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3923		ff:ff:ff:ff:ff:ff
1668920426.335564000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3923		ff:ff:ff:ff:ff:ff
1668920429.157889000	2412	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3938		ff:ff:ff:ff:ff:ff
1668920429.157909000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3938		ff:ff:ff:ff:ff:ff
1668920429.157925000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3938		ff:ff:ff:ff:ff:ff
1668920429.160213000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	3939		ff:ff:ff:ff:ff:ff
