1668898811.524186000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	846		ff:ff:ff:ff:ff:ff
1668898811.526303000	2462	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	847		ff:ff:ff:ff:ff:ff
1668898811.568071000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	848		ff:ff:ff:ff:ff:ff
1668898811.570290000	2437	-56	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	849		ff:ff:ff:ff:ff:ff
1668898811.570310000	2462	-37	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	849		ff:ff:ff:ff:ff:ff
1668898811.612113000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	850		ff:ff:ff:ff:ff:ff
1668898811.612133000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	850		ff:ff:ff:ff:ff:ff
1668898811.614290000	2437	-66	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	851		ff:ff:ff:ff:ff:ff
1668898811.614310000	2462	-31	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	851		ff:ff:ff:ff:ff:ff
1668898811.656141000	2437	-70	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	852		ff:ff:ff:ff:ff:ff
1668898811.656160000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	852		ff:ff:ff:ff:ff:ff
1668898811.658237000	2437	-72	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	853		ff:ff:ff:ff:ff:ff
1668898811.658257000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	853		ff:ff:ff:ff:ff:ff
1668898811.700074000	2462	-30	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	854		ff:ff:ff:ff:ff:ff
1668898811.702332000	2462	-29	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	855		ff:ff:ff:ff:ff:ff
1668898811.766775000	2412	-88	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	857		ff:ff:ff:ff:ff:ff
1668898813.456484000	2412	-54	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	920		ff:ff:ff:ff:ff:ff
1668898813.458358000	2412	-55	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	921		ff:ff:ff:ff:ff:ff
1668898813.540041000	2412	-57	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	922		ff:ff:ff:ff:ff:ff
1668898813.541986000	2412	-57	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	923		ff:ff:ff:ff:ff:ff
1668898813.723620000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	928		ff:ff:ff:ff:ff:ff
1668898813.725644000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	929		ff:ff:ff:ff:ff:ff
1668898813.787845000	2437	-29	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	930		ff:ff:ff:ff:ff:ff
1668898813.787872000	2412	-76	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	930		ff:ff:ff:ff:ff:ff
1668898813.789841000	2437	-30	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	931		ff:ff:ff:ff:ff:ff
1668898813.852280000	2412	-78	a8:86:60:da:7d:7b	ff:ff:ff:ff:ff:ff	932		ff:ff:ff:ff:ff:ff
