1668852009.869580000	2462	-78	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1412		ff:ff:ff:ff:ff:ff
1668852013.519442000	2437	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1668852016.125772000	2437	-93	94:16:50:0b:43:b7	9f:78:ef:cc:67:f8	80		fe:ff:ff:ff:ff:01
1668852017.645052000	2437	-90	dc:21:5c:92:af:81	ff:ff:ff:ff:ff:ff	2105		ff:ff:ff:ff:ff:ff
1668852017.831914000	2437	-93	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	14		ff:ff:ff:ff:ff:ff
1668852018.019584000	2437	-89	70:b3:17:a0:51:e6	ff:ff:ff:ff:ff:ff	949		49:cc:c0:e8:c1:06
1668852018.442785000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	35		ff:ff:ff:ff:ff:ff
1668852018.463655000	2437	-91	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	36		ff:ff:ff:ff:ff:ff
1668852019.080633000	2437	-92	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	57		ff:ff:ff:ff:ff:ff
1668852019.105308000	2437	-94	00:22:58:70:00:dc	ff:ff:ff:ff:ff:ff	58		ff:ff:ff:ff:ff:ff
1668852020.646392000	2412	-92	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3562		ff:ff:ff:ff:ff:ff
1668852020.648621000	2412	-91	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3563		ff:ff:ff:ff:ff:ff
1668852020.971681000	2437	-89	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3577		ff:ff:ff:ff:ff:ff
1668852020.973965000	2437	-86	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3578		ff:ff:ff:ff:ff:ff
1668852021.039729000	2437	-85	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3581		ff:ff:ff:ff:ff:ff
1668852021.042045000	2437	-85	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3582		ff:ff:ff:ff:ff:ff
1668852021.293919000	2462	-90	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3592		ff:ff:ff:ff:ff:ff
1668852021.296119000	2462	-92	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3593		ff:ff:ff:ff:ff:ff
1668852021.358045000	2462	-91	80:8a:bd:24:33:aa	ff:ff:ff:ff:ff:ff	3595		ff:ff:ff:ff:ff:ff
1668852024.507506000	2462	-93	00:22:58:70:00:dc	ff:bf:9b:4a:ff:ff	2	SHAW-EED3BA	ff:ff:ff:ff:ff:ff
1668852024.532965000	2412	-39	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1428		ff:ff:ff:ff:ff:ff
1668852024.532985000	2437	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1428		ff:ff:ff:ff:ff:ff
1668852024.533000000	2462	-67	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1428		ff:ff:ff:ff:ff:ff
1668852024.535019000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1429		ff:ff:ff:ff:ff:ff
1668852024.535039000	2437	-62	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1429		ff:ff:ff:ff:ff:ff
1668852024.535054000	2462	-68	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1429		ff:ff:ff:ff:ff:ff
1668852024.576766000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1430		ff:ff:ff:ff:ff:ff
1668852024.576786000	2437	-58	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1430		ff:ff:ff:ff:ff:ff
1668852024.576802000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1430		ff:ff:ff:ff:ff:ff
1668852024.578935000	2412	-40	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1431		ff:ff:ff:ff:ff:ff
1668852024.578955000	2437	-59	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1431		ff:ff:ff:ff:ff:ff
1668852024.620771000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1432		ff:ff:ff:ff:ff:ff
1668852024.620791000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1432		ff:ff:ff:ff:ff:ff
1668852024.622861000	2437	-52	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1433		ff:ff:ff:ff:ff:ff
1668852024.622881000	2462	-65	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1433		ff:ff:ff:ff:ff:ff
1668852024.664782000	2462	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1434		ff:ff:ff:ff:ff:ff
1668852024.666877000	2412	-57	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1435		ff:ff:ff:ff:ff:ff
1668852024.666898000	2462	-64	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1435		ff:ff:ff:ff:ff:ff
1668852024.708768000	2412	-63	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1436		ff:ff:ff:ff:ff:ff
1668852024.708788000	2437	-34	b2:87:66:09:27:91	ff:ff:ff:ff:ff:ff	1436		ff:ff:ff:ff:ff:ff
